Service_Id,Service_Name
1,Dental Service
2,Alameda Family Dental
3,Diabetes Awarness
4,Pain Relief
5,Control Blood Pressure
6,Yoga Awarness
7,Acupuncture Therapy
8,Chiropractic Simplified
9,Certified Exercise Professionals
10,Control Cholesterol
11,Thrive Feeling
12,Quit Smoking
13,Quit Alcohol
14,Bay Area Chiropractic Care
15,Dental Care Total Health
16,Back In Balance Chiropractic
17,Bay Area Diabetes And Wellness
18,Namaste Yoga And Wellness
19,Acupuncture Works
20,Fitness Evolved
21,Alameda Family Services
22,Community Psychiatry Associates
23,Finger Art Massage Therapy
24,Center For Employment Opportunities
25,Family Planning Specialists Medical Group
26,50% off Advanced Food Concepts
27,New Life Recovery Centers Inc
28,East Bay Obstetrics And Gynecology Medical Associates
29,Internal Medicine Associates Of Berkeley
30,Restore Women's Wellness Centers
31,Michael Wong chiropractor & Chiropractic Services
32,North Oakland Chiropractic Services
33,Integrative Chiropractic
34,Urban Comfort Accupuncture
35,City Pulse Acupuncture
36,Cho`s Acupuncture
37,Sports & Orthopedic Specialists
38,Accident & Injury Center of Oakland
39,HealthSouth Corporation
40,Wise Body Yoga
41,Asana Yoga
42,Monkey Yoga Shala
43,Harbor Bay Club
44,Bay View Dental Inc
45,The Dental Touch
46,Berkeley Therapy Institute
47,Bayside Medical Group
48,Outpatient Rehabilitation Facility
49,Bridge Family Practice
50,Diabetes Hands Foundation
51,Alta Bates Summit Diabetes Center
52,Oakland Hills Tennis Club
53,"Fitts, Susan"
54,Home Base Parenting Fundamentals
55,Heritage Psychiatric Health
56,Cohen Barbara PsyD MFT
57,"Liu, Jing Y"
58,Fit&Fun! Sports Nutrition Oakland
59,Healthier You Wellness Center Inc
61,"Cannariato, Paul DDS"
62,Flu Shot Vaccine Services
63,Install Smoke Detectors - Bay Area Home Safety
64,Tetanus Vaccine Services
65,Diabetes Self-Management
66,Anti Depression Program
67,Hypertension Management
68,Exercise Experts Program
69,Obesity Awareness
70,Yoga Awareness
71,Healthy Eating And Living
72,Pain Relief Program
73,Leave Behind Your Fianancial Problems
74,Dental Care
75,Cholesterol & Triglycerides Health Center
76,Skin Care Therapy
77,Vision Therapy
78,Alcohol Awareness Program
79,Vitamin Minerals
80,Diet Specialist Online Nutrition
81,Flu: Get Free Shot - This Season
82,Tetanus Vaccination Immunise
83,Control Your Weight
84,Use Seat Belt
85,Balance Your Work and Life Balance
86,Positive Work Environment
87,Helmet Safety Program
102,Yoga Awarness (Special Batch for Women)
103,Bayside Medical Group
105,Happy Smile Dental Care
106,Yoga 24
109,Happy Smile Dental Care
116,Develop Good Drving Habits
117,Healthy Eating And Living
119,Strong Structures
126,Workout Fitness
128,The Complete 4-Week Beginner's Workout
131,Fitness Yoga
132,Yoga for all-round fitness
147,Best Dental Service
149,Diabetes Awareness
150,eat nutrition
151,Art of Living
152,Quit Smoking Center
153,Best Yoga
156,Yoga
173,fit to fit health
174,Acupressure Therapy
181,Nutrition for Health
182,yoga health care centre
184,Health Service
185,Bay Area Chiro
195,Oakland Chiro - Emeryville
197,Yoga for Health
198,Hair Colouring
199,Hair Colouring
200,stitching
201,Hair Colouring
202,Yoga For Health
204,Fitness
205,Yoga
208,Yoga
209,Yoga
216,skin
229,Test
231,Dental Service
241,Chiropractic Service for Neck Pain
244,Life Long Nutritions
245,Acupuncture Services
247,Service for testing offer and validation
248,Testing Service Offer With Availability added
249,Health and Wellness
250,Asana
251,Scientists uncover why sauna bathing is good for your health
254,Yoga and Fitness
255,acupuncture
257,acupuncture
259,Acupuncture
285,Body Acupuncture
288,Fitness
289,Initial nutritionist consultation
292,DEMO - Initial nutritionist consultation
293,Example
296,Healthy eating and exercise
297,Dietitian-designed anti-finflammatory meal plan
298,Sensitive teeth
299,Are dentists contributing to antibiotic overuse?
300,Yoga 24 Hours
301,FitnessMaster
303,Exercise consultation
304,Exercise Help
306,Exercise today.......
310,Exercise now
315,Test Service1
320,Test Service1
326,Body massage
330,Acupuncture Service
334,The most common lies dentists tell themselves
335,Vendor Demo Service 1
338,Swim Aerobics ROCK!
341,Yoga Therapy
342,yoga
343,yoga
344,Protecting your skin from sun
348,Yoga for Health
349,Protecting your skin
350,Hair Color
351,test service
358,DEMO Beginning Swim Lessons
359,Nutrition and Exercise Consultation
360,AAAA
366,Pain Relief
367,Dental Service
368,Yoga Awarness
369,Nutrition Counseling and Education
370,Test Phase 2
375,Fitness Personal Trainer
376,Dentist
377,Acupuncture
388,aaaaaaaaaaaaaaaa
